Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Seattle University,0.032,0.622,0.202,1155,7525,31961,0.138,0.705,3.57
University of Mary Washington,0.034,0.688,0.151,1140,6465,15218,0.167,0.757,3.57
Indiana Wesleyan University,0.069,0.69,0.502,1105,7654,22928,0.026,0.718,3.57
Occidental College,0.02,0.801,0.196,1300,6444,30537,0.172,0.387,3.57
Lander University,0.076,0.22,0.563,950,6483,15370,0.052,0.463,3.56
Hardin-Simmons University,0.113,0.305,0.34,1040,6187,21227,0.105,0.566,3.56
University of Arkansas,0.081,0.348,0.229,1165,6116,11496,0.192,0.609,3.56
Oklahoma City University,0.094,0.393,0.205,1165,6338,25289,0.026,0.74,3.56
Abilene Christian University,0.085,0.41,0.262,1145,9519,25758,0.108,0.644,3.56
University of California-Riverside,0.053,0.418,0.591,1050,5146,11484,0.232,0.759,3.56
Queens University of Charlotte,0.071,0.446,0.339,1040,6747,22738,0.092,0.736,3.56
Notre Dame of Maryland University,0.099,0.452,0.475,1035,6697,20553,0.076,0.555,3.56
Saint Marys College of California,0.053,0.502,0.242,1105,7840,33546,0.055,0.692,3.56
University of St. Thomas,0.036,0.629,0.197,1165,9794,31027,0.176,0.845,3.56
Washington College,0.031,0.647,0.133,1165,7497,29130,0.182,0.566,3.56
Wofford College,0.007,0.793,0.218,1185,6366,21066,0.265,0.648,3.56
Babson College,0.018,0.849,0.158,1320,6774,26678,0,0.338,3.56
Embry-Riddle Aeronautical University-Prescott,0.073,0.337,0.261,1123,9791,33873,0.384,0.823,3.55
University of Colorado Boulder,0.05,0.417,0.171,1185,7872,19991,0.255,0.869,3.55
Martin Luther College,0.006,0.476,0.372,1145,3532,14650,0,0.95,3.55
Geneva College,0.051,0.505,0.401,1075,9899,19711,0.157,0.79,3.55
DePaul University,0.062,0.506,0.346,1165,6573,27561,0.085,0.641,3.55
Canisius College,0.066,0.583,0.352,1100,7101,18141,0.133,0.749,3.55
University of Dayton,0.032,0.599,0.129,1205,7857,28597,0.222,0.755,3.55
Tulane University of Louisiana,0.057,0.615,0.108,1325,7551,30883,0.171,0.249,3.55
Hobart William Smith Colleges,0.016,0.717,0.166,0,6845,31086,0.13,0.596,3.55
Manhattan School of Music,0.056,0.728,0.188,0,10140,33783,0,0.405,3.55
DePauw University,0.028,0.743,0.204,1205,6515,25830,0.202,0.575,3.55
University of Michigan-Dearborn,0.077,0.179,0.444,1090,5336,8940,0.289,0.591,3.54
Schreiner University,0.128,0.235,0.455,1015,7354,18641,0.164,0.61,3.54
Gardner-Webb University,0.094,0.324,0.464,1003,7298,20267,0.067,0.594,3.54
Concordia University-Seward,0.039,0.377,0.314,1105,6516,18246,0.113,0.686,3.54
The University of Alabama,0.082,0.411,0.199,1165,13089,18462,0.133,0.435,3.54
Ouachita Baptist University,0.103,0.504,0.305,1105,6002,17575,0.172,0.637,3.54
University of Redlands,0.036,0.612,0.29,1140,6609,26427,0.078,0.665,3.54
Pennsylvania State University-Main Campus,0.08,0.654,0.153,1195,7869,22560,0.278,0.548,3.54
Cornell College,0.041,0.66,0.343,1185,6425,20486,0.25,0.455,3.54
Willamette University,0.044,0.691,0.204,1210,6739,29691,0.153,0.406,3.54
Franklin and Marshall College,0.021,0.79,0.168,0,5155,21508,0.181,0.447,3.54
University of Utah,0.039,0.224,0.238,1105,7549,11246,0.166,0.832,3.53
Missouri University of Science and Technology,0.053,0.278,0.273,1265,6700,15385,0.915,0.898,3.53
Northwest Nazarene University,0.062,0.348,0.363,0,6813,17514,0.134,1,3.53
Iowa State University,0.054,0.388,0.234,1145,6563,13400,0.275,0.805,3.53
Randolph-Macon College,0.079,0.492,0.3,1090,7879,23967,0.149,0.557,3.53
Clarkson University,0.033,0.548,0.309,1155,7838,25507,0.753,0.775,3.53
Gordon College,0.018,0.592,0.259,1177,7816,27400,0.136,0.403,3.53
Millsaps College,0.096,0.662,0.246,1185,6341,22770,0.335,0.605,3.53
Xavier University,0.041,0.71,0.192,1125,8419,27948,0.076,0.702,3.53
Boston University,0.025,0.794,0.131,1275,10118,33172,0.177,0.58,3.53
University of San Francisco,0.05,0.542,0.295,1140,7954,30994,0.079,0.58,3.52
Columbia International University,0.04,0.586,0.366,1115,4042,13850,0,0.667,3.52
Wartburg College,0.05,0.595,0.277,1090,8582,21848,0.261,0.76,3.52
St. Lawrence University,0.026,0.762,0.157,0,5131,28601,0.235,0.434,3.52
Fordham University,0.05,0.766,0.177,1245,6935,34311,0.073,0.424,3.52
Bucknell University,0.006,0.86,0.094,1310,6165,29204,0.332,0.276,3.52
University of Puerto Rico-Bayamon,0.13,0.137,0.754,0,3286,3992,0.299,0.247,3.51
Francis Marion University,0.091,0.179,0.627,950,7141,15072,0.191,0.587,3.51
Virginia Commonwealth University,0.067,0.296,0.311,1080,6567,15838,0.169,0.709,3.51
Oregon State University,0.061,0.301,0.318,1090,6155,15950,0.253,0.811,3.51
Grand Valley State University,0.048,0.314,0.34,1090,6349,15390,0.109,0.831,3.51
Harding University,0.069,0.405,0.278,1145,6372,15508,0.128,0.722,3.51
Dallas Baptist University,0.083,0.411,0.228,1105,10975,20025,0.055,0.437,3.51
Oglethorpe University,0.079,0.419,0.466,1158,6907,18767,0.096,0.447,3.51
Hofstra University,0.076,0.45,0.244,1160,9126,29769,0.086,0.587,3.51
Florida Southern College,0.11,0.471,0.326,1085,12024,19826,0.087,0.651,3.51
Hood College,0.071,0.493,0.341,1085,7028,20394,0.191,0.792,3.51
Delaware Valley College,0.075,0.493,0.323,1015,10324,25198,0.137,0.735,3.51
Alma College,0.077,0.502,0.311,1125,7480,20774,0.211,0.728,3.51
Waynesburg University,0.045,0.54,0.385,1010,9289,16607,0.1,0.75,3.51
