Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
Saint Augustine's University,0.306,0.16,0.699,770,3952,23325,0.071,0.601,2.37
Livingstone College,0.324,0.118,0.832,743,7254,14793,0.155,0.539,2.32
Shaw University,0.189,0.125,0.82,0,6665,18129,0.066,0.477,2.31
Fisher College,0.184,0.204,0.766,840,10349,18369,0,0.589,2.31
Southwestern Adventist University,0.114,0.19,0.583,0,5173,17801,0.132,1,2.23
Dean College,0.142,0.477,0.382,855,8721,26169,0,0.701,2.2
Jarvis Christian College,0.506,0.071,0.898,0,6909,20607,0.19,1,2.1
International Academy of Design and Technology-Chicago,0.268,0.127,0.8,0,7159,17476,0.095,1,2.1
Carver Bible College,0,0,1,0,4000,12747,0,1,2
Columbia Centro Universitario-Caguas,0,0,0.935,0,0,5140,0,1,2
Columbia Centro Universitario-Yauco,0,0,0.828,0,0,5750,0,1,2
University of the District of Columbia,0.141,0.064,0.636,0,2989,18963,0.206,1,2
Inter American University of Puerto Rico-Fajardo,0.289,0.07,0.976,0,2690,5189,0.172,0.483,2
Voorhees College,0.208,0.158,0.905,0,7020,11114,0.163,0.506,2
Alaska Bible College,0,0,0.546,0,4541,4006,0,1,0
Allegheny Wesleyan College,0,0,0.556,0,3622,6537,0,1,0
Bais Medrash Elyon,0,0,1,0,0,4000,0,1,0
Bais Medrash Toras Chesed,0,0,0.214,0,0,8030,0,0.522,0
Baptist Missionary Association Theological Seminary,0,0,0.75,0,3286,3206,0,0.769,0
Beth Hamedrash Shaarei Yosher Institute,0,0,0.3,0,0,5810,0,1,0
Beth Hatalmud Rabbinical College,0,0,0.643,0,0,8264,0,1,0
Bethel College,0,0,0.571,0,9033,5643,0,1,0
Bethesda University of California,0,0,0.672,0,3355,11557,0,0.755,0
Carolina College of Biblical Studies,0,0,1,0,6939,1873,0,1,0
Central Yeshiva Tomchei Tmimim Lubavitz,0,0,0.898,0,0,15751,0,1,0
Colorado Heights University,0,0,0.2,0,0,9725,0,1,0
Darkei Noam Rabbinical College,0,0,0,0,0,0,0,0,0
Denver School of Nursing,0,0,1,0,11500,30530,0,0.7,0
Dine College,0,0,0.985,0,0,8175,0,1,0
Frank Lloyd Wright School of Architecture,0,0,0,0,0,0,0,0,0
Grace College of Divinity,0,0,0.143,0,5475,11574,0,1,0
Grantham University,0,0,0.241,0,7623,14135,0.209,1,0
Haskell Indian Nations University,0,0,0.681,870,0,4223,0,0.447,0
Kehilath Yakov Rabbinical Seminary,0,0,0.731,0,0,3296,0,1,0
Machzikei Hadath Rabbinical College,0,0,0.697,0,0,8203,0,1,0
Maple Springs Baptist Bible College and Seminary,0,0,0,0,0,0,0,1,0
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0,0,0.786,0,0,7121,0,1,0
Mesivta Torah Vodaath Rabbinical Seminary,0,0,0.5,0,0,6671,0,0.933,0
Mesivtha Tifereth Jerusalem of America,0,0,0.6,0,0,7289,0,0.536,0
Mirrer Yeshiva Cent Institute,0,0,0.533,0,0,6314,0,0,0
Mount Angel Seminary,0,0,0.4,0,3484,26533,0,0.882,0
Northern Marianas College,0,0,0.869,0,0,692,0,1,0
Ohr Hameir Theological Seminary,0,0,0.625,0,0,10607,0,1,0
Pacific Islands University,0,0,0.8,0,0,11029,0,0.714,0
Rabbi Jacob Joseph School,0,0,0.238,0,0,6911,0,1,0
Rabbinical Academy Mesivta Rabbi Chaim Berlin,0,0,0.214,0,0,8829,0,1,0
Rabbinical College Beth Shraga,0,0,0.182,0,0,12288,0,1,0
Rabbinical College Bobover Yeshiva Bnei Zion,0,0,0.981,0,0,7448,0,1,0
Rabbinical College of America,0,0,0.483,0,0,11384,0,1,0
Rabbinical College of Ch'san Sofer New York,0,0,1,0,0,20550,0,0.4,0
Rabbinical College of Long Island,0,0,0,0,0,0,0,0,0
Rabbinical College of Ohr Shimon Yisroel,0,0,0.933,0,0,5888,0,0.818,0
Rabbinical Seminary M'kor Chaim,0,0,0.333,0,0,7955,0,1,0
Remington College-Honolulu Campus,0,0,0.821,0,9898,20921,0,0.695,0
Remington College-Tampa Campus,0,0,0.838,0,8480,22618,0,0.676,0
Saint John Vianney College Seminary,0,0,0.4,0,20000,26436,0,1,0
Saint John's Seminary,0,0,0,0,0,0,0,1,0
Sh'or Yoshuv Rabbinical College,0,0,0.3,0,0,7517,0,0,0
Shasta Bible College and Graduate School,0,0,0.778,0,6000,13811,0,1,0
Sinte Gleska University,0,0,0.828,0,0,13932,0,1,0
South Texas College,0,0,0.852,0,1122,3408,0.321,1,0
Southeastern Baptist College,0,0,0.778,0,0,4146,0,1,0
Talmudical Academy-New Jersey,0,0,0.625,0,0,7606,0,1,0
Talmudical Institute of Upstate New York,0,0,0.667,0,0,6307,0,0,0
Talmudical Seminary of Bobov,0,0,0.833,0,0,5666,0,1,0
Telshe Yeshiva-Chicago,0,0,0.455,0,0,6726,0,1,0
Torah Temimah Talmudical Seminary,0,0,0.183,0,0,10718,0,1,0
Touro University Worldwide,0,0,0.6,0,0,4487,0,0.429,0
Turtle Mountain Community College,0,0,0.752,0,0,5644,0,1,0
United Talmudical Seminary,0,0,0.87,0,0,5595,0,1,0
Universidad Pentecostal Mizpa,0,0,1,0,0,5776,0,1,0
Universidad Teologica del Caribe,0,0,1,0,0,3809,0,0.784,0
University of Management and Technology (The),0,0,0,0,0,0,0.085,1,0
Uta Mesivta of Kiryas Joel,0,0,0.776,0,0,6572,0,1,0
Yeshiva and Kollel Harbotzas Torah,0,0,0,0,0,0,0,0,0
Yeshiva College of the Nations Capital,0,0,0,0,0,0,0,0,0
Yeshiva D'monsey Rabbinical College,0,0,1,0,0,15452,0,1,0
Yeshiva Derech Chaim,0,0,0.346,0,0,9323,0,1,0
Yeshiva Gedolah Imrei Yosef D'spinka,0,0,1,0,0,7140,0,1,0
Yeshiva Gedolah of Greater Detroit,0,0,0.333,0,0,6900,0,1,0
Yeshiva Karlin Stolin,0,0,1,0,0,4048,0,0.875,0
Yeshiva of Machzikai Hadas,0,0,0.877,0,0,16580,0,1,0
Yeshiva of Nitra Rabbinical College,0,0,0.6,0,0,5361,0,1,0
Yeshiva of the Telshe Alumni,0,0,0.391,0,0,7323,0,1,0
Yeshiva Shaarei Torah of Rockland,0,0,0.25,0,0,21525,0,1,0
Yeshiva Toras Chaim,0,0,0.718,0,0,8477,0,1,0
Yeshivah Gedolah Rabbinical College,0,0,0.563,0,0,2959,0,1,0
Yeshivas Novominsk,0,0,0.419,0,0,11056,0,1,0
Yeshivat Mikdash Melech,0,0,0.444,0,0,8327,0,1,0
Yeshivath Beth Moshe,0,0,0.5,0,2625,5299,0,1,0
Yeshivath Viznitz,0,0,0.897,0,0,7183,0,1,0
Yeshivath Zichron Moshe,0,0,0.389,0,0,9755,0,1,0
Samuel Merritt University,0.011,0,0,0,0,0,0,0,0
West Coast University-Los Angeles,0.017,0,0.446,0,19839,34348,0,0.565,0
Gratz College,0.024,0,0,0,0,0,0,1,0
Southern California Seminary,0.027,0,1,0,9500,23246,0,1,0
University of Western States,0.029,0,0,0,0,0,1,1,0
Barnes-Jewish College Goldfarb School of Nursing,0.035,0,0,0,0,0,0,0,0
American University of Health Sciences,0.038,0,0.5,0,10657,66743,0,0.792,0
Alliant International University,0.044,0,0,0,0,0,0,0,0
Cincinnati College of Mortuary Science,0.046,0,0.4,0,14033,0,0,0.6,0
Hebrew College,0.047,0,0,0,0,0,0,0,0
Linfield College-Nursing & Health Sciences,0.047,0,0,0,0,0,0,0,0
Clarkson College,0.049,0,0.519,1030,12057,13990,0,0.321,0
Golden Gate University-San Francisco,0.049,0,0,0,0,0,0.064,0,0
Our Lady of the Lake College,0.049,0,0.588,990,5411,11392,0.107,0.248,0
Northeastern University,0.054,0,0.129,1340,6369,31821,0.227,0.345,0
Ohio Mid-Western College,0.055,0,0.833,0,6500,14924,0,1,0
Marylhurst University,0.056,0,0.571,0,6556,22282,0,0.697,0
Doane College-Lincoln Grand Island and Master,0.057,0,0,0,0,0,0,0,0
King's University,0.057,0,0.455,0,5500,12488,0,0.739,0
Holy Apostles College and Seminary,0.058,0,0.143,0,5500,5683,0,1,0
Widener University-Delaware Campus,0.058,0,0.231,0,9646,19471,0.067,1,0
Goddard College,0.062,0,0.286,0,6829,21602,0,1,0
Williamson Christian College,0.066,0,0.455,0,7794,14975,0,1,0
Chamberlain College of Nursing-Missouri,0.067,0,0.714,0,9593,25845,0,0.889,0
Luther Rice University & Seminary,0.067,0,0.273,0,8072,15861,0,1,0
Cleveland Chiropractic College,0.069,0,0.5,990,3732,36365,1,1,0
City University of Seattle,0.072,0,0,0,3183,24480,0.048,1,0
Pacific College of Oriental Medicine-New York,0.074,0,0.8,0,12946,49154,0,1,0
Adventist University of Health Sciences,0.075,0,0.846,890,5439,17325,0.031,0.962,0
Amridge University,0.075,0,0.875,0,5129,5151,0.01,1,0
Virginia University of Lynchburg,0.08,0,0.909,0,8027,10540,0,1,0
National College-Lexington,0.094,0,0.861,0,8535,16867,0,1,0
Cambridge College,0.095,0,0.222,0,6242,20820,0,1,0
Platt College-Aurora,0.095,0,0.333,0,19444,36786,0,1,0
Birthingway College of Midwifery,0.1,0,0,0,0,0,0,0,0
Faith Evangelical College & Seminary,0.102,0,1,0,8582,18745,0,1,0
National College-Salem,0.107,0,0.854,0,7797,16968,0.121,1,0
Capella University,0.109,0,1,0,3366,15040,0.274,1,0
Monroe College-New Rochelle,0.109,0,0,0,0,0,0,0.579,0
Trine University-Regional/Non-Traditional Campuses,0.109,0,0.778,0,6528,19898,0.007,0.639,0
Averett University-Non-Traditional Programs,0.114,0,0.167,0,8106,21298,0.004,1,0
Donnelly College,0.115,0,0.56,0,5188,8451,0,1,0
Charles R Drew University of Medicine and Science,0.122,0,0.8,0,4474,9631,0,1,0
Laboure College,0.122,0,1,0,19500,23855,0,0.522,0
University of the West,0.125,0,0,0,9454,0,0,1,0
Minnesota School of Business-Brooklyn Center,0.128,0,0.778,0,6934,21943,0.12,1,0
Minnesota School of Business-Plymouth,0.128,0,0.333,0,11443,17917,0.029,1,0
Minnesota School of Business-Shakopee,0.128,0,0.467,0,9574,20966,0,1,0
Minnesota School of Business-Waite Park,0.128,0,0.689,0,8954,23055,0.108,1,0
Granite State College,0.129,0,0.712,0,4797,11995,0,1,0
Somerset Christian College,0.131,0,0.909,0,8501,14173,0,1,0
Shorter University-College of Adult & Professional Programs,0.134,0,0.87,0,8320,25442,0,1,0
Midstate College,0.136,0,0.8,0,7824,20141,0.086,0.854,0
New England Culinary Institute,0.138,0,0.42,0,14272,18571,0,1,0
Wilberforce University,0.139,0,0.866,0,8577,14403,0.121,0.925,0
Family of Faith College,0.142,0,0.667,0,0,3486,0,1,0
American Musical and Dramatic Academy,0.145,0,0.387,0,8424,34286,0,0.309,0
Jones College-Jacksonville,0.145,0,1,0,3484,13333,0.04,1,0
Polytechnic University of Puerto Rico-Miami Campus,0.145,0,1,0,8292,23571,0,1,0
Polytechnic University of Puerto Rico-Orlando,0.145,0,0.333,0,7300,20805,0.571,1,0
Jones International University,0.151,0,0.571,0,8709,15542,0,1,0
The Restaurant School at Walnut Hill College,0.151,0,0.654,0,6400,29212,0,1,0
Strayer University-District of Columbia,0.152,0,0.2,0,3200,29957,0.134,1,0
Strayer University-Georgia,0.152,0,0.6,0,3397,29444,0.135,1,0
Strayer University-Global Region,0.152,0,1,0,3049,29524,0.229,1,0
Strayer University-North Carolina,0.152,0,0.444,0,2803,29562,0.166,1,0
Strayer University-Pennsylvania,0.152,0,0.455,0,3808,29987,0.163,1,0
Strayer University-Tennessee,0.152,0,1,0,2941,30661,0.122,1,0
Conception Seminary College,0.153,0,0.429,1125,6550,26298,0,0.933,0
Michigan Jewish Institute,0.153,0,0.953,0,3484,9733,0,0.797,0
New Life Theological Seminary,0.153,0,0.909,0,4138,21745,0,1,0
W L Bonner College,0.153,0,0.6,0,9454,10010,0,1,0
Nossi College of Art,0.155,0,0.5,0,7168,18440,0,0.489,0
Peirce College,0.155,0,0.75,0,9782,17495,0.203,1,0
Nazarene Bible College,0.156,0,0.5,0,9100,20950,0,1,0
Brookline College-Albuquerque,0.157,0,0.933,0,10810,22736,0,1,0
Argosy University-Denver,0.158,0,0,0,5500,0,0,1,0
Argosy University-Twin Cities,0.158,0,0.547,0,10009,18609,0,1,0
Saint Catharine College,0.158,0,0.497,0,7699,20891,0,1,0
Platt College-San Diego,0.162,0,0.6,0,10392,31574,0,1,0
Sojourner-Douglass College,0.163,0,0.535,0,9405,19901,0.023,1,0
College of Biblical Studies-Houston,0.169,0,0.571,0,4964,13032,0,1,0
Gainesville State College,0.169,0,0.435,950,3683,7915,0,0.803,0
Everest College-Salt Lake City,0.171,0,0.958,0,10953,19650,0.333,1,0
Bay State College,0.174,0,0.648,0,7906,24559,0,0.76,0
Globe University-Woodbury,0.175,0,0.639,0,11877,22699,0.105,1,0
Stratford University,0.175,0,0.196,0,8810,25774,0.25,1,0
Herzing University-Kenner,0.176,0,0.922,0,6913,22217,0.136,1,0
Herzing University-Minneapolis,0.176,0,0.563,0,6849,18189,0,1,0
Herzing University-Winter Park,0.176,0,0.833,0,10799,25191,0.1,1,0
Platt College-Los Angeles,0.176,0,0.632,0,6751,27224,0,1,0
Ranken Technical College,0.178,0,0.546,0,6444,18428,0.6,1,0
Skyline College-Roanoke,0.178,0,0.865,0,8163,17233,1,0.729,0
Everest College-Ontario Metro,0.183,0,0.905,0,9434,19451,0,1,0
Everest College-Springfield,0.183,0,0.969,0,11773,19305,0,1,0
Rasmussen College-Florida,0.186,0,0.878,0,8536,18878,0,0.833,0
Rasmussen College-Minnesota,0.186,0,0.681,0,8444,19435,0,0.708,0
Rasmussen College-North Dakota,0.186,0,0.696,0,8054,19523,0,0.811,0
Charter College-Anchorage,0.188,0,0.815,0,11390,18797,0.276,1,0
Baker College Center for Graduate Studies,0.191,0,0.837,0,7922,16175,0.153,1,0
Baker College of Allen Park,0.191,0,0.829,0,5275,11901,0.152,1,0
Baker College of Auburn Hills,0.191,0,0.782,0,6321,11847,0.055,1,0
Baker College of Cadillac,0.191,0,0.796,0,5903,11923,0.079,1,0
Baker College of Jackson,0.191,0,0.826,0,5301,11831,0.021,1,0
Baker College of Owosso,0.191,0,0.736,0,5468,11964,0.172,1,0
Miller-Motte College-Wilmington,0.191,0,0.819,0,10933,20336,0,1,0
Acupuncture and Massage College,0.193,0,0,0,0,0,0,0.714,0
Everest College Phoenix-Mesa,0.193,0,0.842,0,10759,18050,0,1,0
Martin University,0.198,0,0.924,0,6818,15565,0.047,1,0
National University College-Rio Grande,0.198,0,0.986,0,2591,8098,0.111,0.93,0
SUM Bible College and Theological Seminary,0.2,0,0.662,0,6570,21157,0,0.538,0
Florida Career College-Miami,0.201,0,0.873,0,9229,38995,0,1,0
Everest University-Lakeland,0.217,0,1,0,12906,21869,0,1,0
Everest University-Largo,0.217,0,0.974,0,13241,20303,0.111,1,0
Vincennes University,0.22,0,0.609,0,7216,9497,0.185,1,0
Everest University-Melbourne,0.221,0,0.913,0,11748,21769,0.12,1,0
Pioneer Pacific College,0.222,0,0.763,0,10164,19119,0.273,1,0
Hamilton Technical College,0.225,0,0.766,0,11289,14286,1,1,0
City College-Gainesville,0.226,0,0.957,0,8365,22742,0,0.921,0
Colorado Technical University-Kansas City,0.228,0,0.769,0,8700,0,0,1,0
South University-Montgomery,0.23,0,0.839,0,6094,21892,0.167,0.553,0
South University-Tampa,0.23,0,0.816,0,7493,23538,0,0.575,0
American InterContinental University-Online,0.232,0,0.844,0,8369,18067,0.129,0.979,0
Everest University-Orange Park,0.232,0,0.882,0,13970,20891,0,1,0
DeVry University-Maryland,0.234,0,1,0,7301,31037,0.059,0.792,0
DeVry University-Minnesota,0.234,0,0.933,0,9255,23246,0.145,0.773,0
DeVry University-Nevada,0.234,0,0.774,0,8275,21957,0.157,0.916,0
DeVry University-New Jersey,0.234,0,0.653,0,8011,19437,0.446,0.931,0
DeVry University-North Carolina,0.234,0,0.948,0,8453,26750,0.229,0.922,0
DeVry University-Oklahoma,0.234,0,0.818,0,7558,27237,0.2,0.949,0
DeVry University-Oregon,0.234,0,0.8,0,7560,25943,0.2,1,0
DeVry University-Wisconsin,0.234,0,1,0,9194,27692,0.154,0.962,0
Epic Bible College,0.235,0,0.75,0,5119,19795,0,0.786,0
Oklahoma State University-Oklahoma City,0.235,0,0.559,0,4665,7715,0,1,0
The Art Institute of Tennessee-Nashville,0.235,0,0.688,0,7363,25739,0.093,0.422,0
Vatterott College-Berkeley,0.238,0,0.973,0,9375,16683,1,1,0
National American University-Albuquerque,0.246,0,0.5,0,6438,22299,0.071,1,0
National American University-Albuquerque West,0.246,0,0.571,0,0,17528,0.12,1,0
National American University-Brooklyn Center,0.246,0,0.4,0,11686,20989,0,1,0
National American University-Colorado Springs,0.246,0,0.529,0,6661,20529,0.069,1,0
National American University-Denver,0.246,0,0.75,0,5063,19088,0.333,1,0
National American University-Ellsworth AFB Extension,0.246,0,0,0,0,0,0.152,1,0
National American University-Overland Park,0.246,0,0.857,0,5961,19546,0.071,1,0
National American University-Roseville,0.246,0,1,0,5726,21862,0.154,1,0
National American University-Zona Rosa,0.246,0,0.778,0,5304,20766,0,1,0
University of Phoenix-Atlanta Campus,0.26,0,0.899,0,8726,17961,0,1,0
University of Phoenix-Austin Campus,0.26,0,0.8,0,8283,19170,0,1,0
University of Phoenix-Boston Campus,0.26,0,0.769,0,8092,21281,0.163,1,0
University of Phoenix-Charlotte Campus,0.26,0,0.955,0,8592,18889,0.065,1,0
University of Phoenix-Chattanooga Campus,0.26,0,0.929,0,8531,18475,0,1,0
University of Phoenix-Cheyenne Campus,0.26,0,0.857,0,7670,18077,0,1,0
University of Phoenix-Cincinnati Campus,0.26,0,0.8,0,8199,17959,0,1,0
University of Phoenix-Cleveland Campus,0.26,0,0.898,0,9083,20185,0.082,1,0
University of Phoenix-Colorado Campus,0.26,0,0.829,0,8883,18635,0.054,1,0
University of Phoenix-Columbia Campus,0.26,0,0.86,0,8939,17999,0.03,1,0
University of Phoenix-Columbus Georgia Campus,0.26,0,0.961,0,8927,18835,0,1,0
University of Phoenix-Columbus Ohio Campus,0.26,0,1,0,9140,19820,0,1,0
University of Phoenix-Des Moines Campus,0.26,0,0.625,0,8786,20346,0,1,0
University of Phoenix-Harrisburg Campus,0.26,0,0.8,0,8978,17774,0,1,0
University of Phoenix-Idaho Campus,0.26,0,0.947,0,9023,18072,0.022,1,0
University of Phoenix-Indianapolis Campus,0.26,0,0.9,0,8575,18559,0,1,0
University of Phoenix-Madison Campus,0.26,0,0.909,0,8363,18180,0,1,0
University of Phoenix-Maryland Campus,0.26,0,0.625,0,8398,17706,0.023,1,0
University of Phoenix-Memphis Campus,0.26,0,0.92,0,9156,18833,0.144,1,0
University of Phoenix-Milwaukee Campus,0.26,0,0.885,0,8904,19142,0.037,1,0
University of Phoenix-Minneapolis/St Paul Campus,0.26,0,0.864,0,8805,19840,0,1,0
University of Phoenix-Nashville Campus,0.26,0,0.848,0,7917,17937,0.04,1,0
University of Phoenix-Northern Virginia Campus,0.26,0,0.583,0,8773,18512,0.182,1,0
University of Phoenix-Northwest Indiana Campus,0.26,0,0,0,0,0,0,1,0
University of Phoenix-Oklahoma City Campus,0.26,0,0.942,0,8409,17795,0,1,0
University of Phoenix-Philadelphia Campus,0.26,0,0.857,0,7968,17877,0,1,0
University of Phoenix-Pittsburgh Campus,0.26,0,0.875,0,8804,18430,0,1,0
University of Phoenix-Puerto Rico Campus,0.26,0,0.792,0,5606,14950,0,1,0
University of Phoenix-Raleigh Campus,0.26,0,0.933,0,9033,18394,0.035,1,0
University of Phoenix-Richmond Campus,0.26,0,0.756,0,8711,18081,0,1,0
University of Phoenix-San Antonio Campus,0.26,0,0.851,0,8721,19559,0,1,0
University of Phoenix-San Diego Campus,0.26,0,0.788,0,7667,18611,0.063,1,0
University of Phoenix-Savannah Campus,0.26,0,0.885,0,8204,18479,0,1,0
University of Phoenix-Southern Colorado Campus,0.26,0,0.526,0,8600,18812,0,1,0
University of Phoenix-Springfield  Campus,0.26,0,0.962,0,7956,18041,0,1,0
University of Phoenix-St Louis Campus,0.26,0,0.886,0,8677,19886,0,1,0
University of Phoenix-Tulsa Campus,0.26,0,0.929,0,7108,17700,0.079,1,0
University of Phoenix-Washington DC Campus,0.26,0,0.85,0,8239,18145,0,1,0
University of Phoenix-Western Washington Campus,0.26,0,0.692,0,8804,19106,0,1,0
Brown Mackie College-Michigan City,0.262,0,0.796,0,6815,18201,0,1,0
Brown Mackie College-Northern Kentucky,0.262,0,0.868,0,7022,19045,0,1,0
Brown Mackie College-South Bend,0.262,0,0.866,0,7141,18725,0,1,0
Brown Mackie College-Tucson,0.262,0,0.88,0,7238,19747,0.063,1,0
Kaplan University-Cedar Falls Campus,0.262,0,0.8,0,8379,23983,0.129,1,0
Kaplan University-Cedar Rapids Campus,0.262,0,0.913,0,9469,19390,0.202,1,0
Kaplan University-Council Bluffs Campus,0.262,0,0.75,0,8086,18270,0,1,0
Kaplan University-Des Moines Campus,0.262,0,0.8,0,9780,18700,0.233,1,0
Kaplan University-Hagerstown Campus,0.262,0,0,0,0,0,0.305,1,0
Kaplan University-Lincoln Campus,0.262,0,0.8,0,8552,18531,0.139,1,0
Kaplan University-Mason City Campus,0.262,0,0.9,0,7639,15811,0,1,0
Kaplan University-Omaha Campus,0.262,0,0.811,0,8309,18072,0.132,1,0
The Art Institute of Tucson,0.262,0,0.696,0,8217,23079,0.154,0.566,0
Sullivan University,0.266,0,0.719,0,9043,24335,0.155,1,0
Crowley's Ridge College,0.268,0,0.649,0,5218,11125,0,1,0
International Academy of Design and Technology-Nashville,0.268,0,0.765,0,8371,16770,0,1,0
ITT Technical Institute-Seattle,0.268,0,0.628,0,9069,23082,0.66,0.825,0
Academy College,0.277,0,0.625,0,8900,23330,0.333,1,0
Virginia College-Huntsville,0.282,0,0.967,0,10601,17675,0.167,1,0
Heritage Christian University,0.285,0,0.4,0,2738,14165,0,1,0
Pontifical Catholic University of Puerto Rico-Mayaguez,0.286,0,0.952,0,2765,4079,0.071,0.376,0
ITT Technical Institute-Chantilly,0.292,0,0.744,0,10491,21802,0.632,0.758,0
ITT Technical Institute-Duluth,0.292,0,0.803,0,8104,23152,0.387,0.787,0
ITT Technical Institute-Earth City,0.292,0,0.65,0,9704,20927,0.614,0.466,0
ITT Technical Institute-Fort Lauderdale,0.292,0,0.8,0,7776,21367,0.49,0.549,0
ITT Technical Institute-Greenville,0.292,0,0.655,0,7829,21958,0.476,0.709,0
ITT Technical Institute-Jacksonville,0.292,0,0.776,0,8632,21730,0.462,0.57,0
ITT Technical Institute-Lake Mary,0.292,0,0.71,0,8245,22997,0.432,0.57,0
ITT Technical Institute-Lexington,0.292,0,0.688,0,6700,22436,0.45,0.78,0
ITT Technical Institute-Mount Prospect,0.292,0,0.833,0,8376,22688,0.59,0.677,0
ITT Technical Institute-Murray,0.292,0,0.781,0,8852,22523,0.583,0.687,0
ITT Technical Institute-Orland Park,0.292,0,0.688,0,10095,22378,0.28,0.524,0
ITT Technical Institute-Oxnard,0.292,0,0.533,0,8721,22914,0.327,0.768,0
ITT Technical Institute-Rancho Cordova,0.292,0,0.645,0,10217,22265,0.604,0.767,0
ITT Technical Institute-Richmond,0.292,0,0.708,0,7914,23038,0.149,0.758,0
ITT Technical Institute-Tucson,0.292,0,0.783,0,10191,21891,0.414,0.688,0
Heritage Bible College,0.294,0,1,0,5037,7934,0,1,0
Bryant & Stratton College-Cleveland,0.303,0,1,0,9031,14108,0.217,0.521,0
Bryant & Stratton College-Milwaukee,0.303,0,0.993,0,7918,13071,0,1,0
Bryant & Stratton College-Parma,0.303,0,0.863,0,8740,15110,0,0.65,0
Bryant & Stratton College-Richmond,0.303,0,0.944,0,8187,12886,0,1,0
Bryant & Stratton College-Virginia Beach,0.303,0,0.92,0,8152,13432,0,1,0
Bryant & Stratton College-Wauwatosa,0.303,0,0.778,0,7648,13877,0,1,0
Oklahoma State University Institute of Technology-Okmulgee,0.305,0,0.587,0,4361,6033,1,1,0
Baptist University of the Americas,0.315,0,0.529,0,6725,13740,0,1,0
South College-Asheville,0.317,0,0.833,0,11620,30984,0,1,0
Centura College-Virginia Beach,0.32,0,0.972,0,17272,22300,0,1,0
Southwestern Christian College,0.327,0,0.829,0,2556,9219,0,1,0
Potomac College-VA Campus,0.328,0,0,0,0,0,0,1,0
Potomac College-Washington,0.328,0,0.762,0,8029,19312,0.078,1,0
World Mission University,0.333,0,0.389,0,0,12941,0,0.642,0
Stevens-Henager College of Business-Provo,0.341,0,0.977,0,9816,17247,0.268,1,0
College America-Cheyenne,0.351,0,0.755,0,8088,24487,0,1,0
College America-Fort Collins,0.351,0,0.779,0,8835,21515,0.129,1,0
Missouri Tech,0.391,0,0.333,0,5500,25620,1,1,0
Tri-State Bible College,0.5,0,0,0,0,0,0,1,0
South Florida Bible College and Theological Seminary,0.666,0,1,0,9405,11025,0,1,0
University of Phoenix-Metro Detroit Campus,0.26,0.003,0.914,0,8547,19875,0.019,1,0
University of Phoenix-Sacramento Valley Campus,0.26,0.003,0.8,0,8365,19329,0.022,1,0
Harris-Stowe State University,0.279,0.003,0.859,0,6928,10328,0.075,1,0
University of Phoenix-Louisiana Campus,0.26,0.004,0.839,0,8860,17570,0.045,1,0
University of Phoenix-South Florida Campus,0.26,0.004,0.733,0,8443,19381,0.007,1,0
Universidad Del Turabo,0.173,0.005,0.809,0,1782,8736,0.092,0.446,0
University of Phoenix-Central Valley Campus,0.26,0.005,0.931,0,7895,19250,0.003,1,0
University of Phoenix-Chicago Campus,0.26,0.005,0.802,0,8278,19136,0,1,0
University of Phoenix-Houston Campus,0.26,0.005,0.812,0,8554,19435,0,1,0
University of Phoenix-Online Campus,0.26,0.005,0.892,0,8482,14550,0.091,1,0
University of Phoenix-Phoenix Campus,0.26,0.005,0.829,0,8689,18610,0.07,1,0
Oglala Lakota College,0,0.006,0.928,0,0,2510,0.04,1,0
University of Phoenix-Central Florida Campus,0.26,0.006,0.926,0,8385,18676,0.027,1,0
University of Phoenix-Oregon Campus,0.26,0.006,0.835,0,8362,18557,0.052,1,0
University of Phoenix-Las Vegas Campus,0.26,0.007,0.859,0,8599,19026,0,1,0
University of Phoenix-Utah Campus,0.26,0.007,0.786,0,9325,19762,0.079,1,0
University of Phoenix-Augusta Campus,0.26,0.008,1,0,8596,17878,0,1,0
University of Phoenix-Little Rock Campus,0.26,0.008,0.95,0,8919,17771,0.135,1,0
University of Phoenix-North Florida Campus,0.26,0.008,0.902,0,8741,18884,0.048,1,0
University of Phoenix-Northwest Arkansas Campus,0.26,0.008,0.887,0,7829,17810,0.063,1,0
Western International University,0.108,0.009,0.719,0,9309,23041,0.077,1,0
University of Phoenix-Southern Arizona Campus,0.26,0.009,0.881,0,7990,19066,0.107,1,0
University of Phoenix-Bay Area Campus,0.26,0.01,0.813,0,8579,20255,0.01,1,0
University of Phoenix-West Florida Campus,0.26,0.01,0.867,0,8906,18327,0.057,1,0
University of Phoenix-West Michigan Campus,0.26,0.01,0.958,0,8919,19013,0,1,0
University of Phoenix-Kansas City Campus,0.26,0.011,0.807,0,8787,19233,0.031,1,0
Universidad Del Este,0.225,0.012,0.929,0,1770,8476,0.014,0.46,0
Heritage University,0.21,0.013,0.955,0,5889,12787,0.058,1,0
University of Phoenix-Dallas Campus,0.26,0.013,0.827,0,8903,19643,0,1,0
